"","Contract.Number","Plan.Benefit.Package","Contract.Name","Plan.Type","Average.Part.C.Risk.Score","Average.A.B.PM.PM.Payment","Average.Rebate.PM.PM.Payment","date","payment","rebate","Plan.ID","contract_plan"
"567","H1517",7,"ANTHEM INSURANCE COMPANIES, INC.","Local PPO",0.924,"$757.77 ","$8.99 ",2016-06-30,757.77,8.99,7,"H1517_7"
"568","H1537",801,"UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK","Local PPO",1.017,"$796.03 ","$0.00 ",2016-06-30,796.03,0,801,"H1537_801"
"569","H1587",1,"ARKANSAS SUPERIOR SELECT, INC.","HMO",1.816,"$740.05 ","$51.82 ",2016-06-30,740.05,51.82,1,"H1587_1"
"570","H1607",12,"ANTHEM INSURANCE COMPANIES, INC.","Local PPO",1.027,"$784.93 ","$3.09 ",2016-06-30,784.93,3.09,12,"H1607_12"
"571","H1608",1,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.959,"$735.10 ","$29.42 ",2016-06-30,735.1,29.42,1,"H1608_1"
"572","H1608",4,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.778,"$687.62 ","$49.27 ",2016-06-30,687.62,49.27,4,"H1608_4"
"573","H1608",7,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.004,"$643.91 ","$51.52 ",2016-06-30,643.91,51.52,7,"H1608_7"
"574","H1608",8,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.949,"$682.19 ","$65.09 ",2016-06-30,682.19,65.09,8,"H1608_8"
"575","H1608",12,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.989,"$755.25 ","$34.40 ",2016-06-30,755.25,34.4,12,"H1608_12"
"576","H1608",13,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.985,"$761.54 ","$41.85 ",2016-06-30,761.54,41.85,13,"H1608_13"
"577","H1608",16,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.923,"$742.10 ","$54.70 ",2016-06-30,742.1,54.7,16,"H1608_16"
"578","H1608",17,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.947,"$741.77 ","$51.63 ",2016-06-30,741.77,51.63,17,"H1608_17"
"579","H1608",18,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.976,"$743.86 ","$32.59 ",2016-06-30,743.86,32.59,18,"H1608_18"
"580","H1608",21,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.911,"$769.14 ","$27.54 ",2016-06-30,769.14,27.54,21,"H1608_21"
"581","H1608",23,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.945,"$783.74 ","$25.89 ",2016-06-30,783.74,25.89,23,"H1608_23"
"582","H1608",24,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.055,"$711.90 ","$48.60 ",2016-06-30,711.9,48.6,24,"H1608_24"
"583","H1608",25,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.111,"$752.35 ","$49.42 ",2016-06-30,752.35,49.42,25,"H1608_25"
"584","H1608",26,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.067,"$787.23 ","$3.50 ",2016-06-30,787.23,3.5,26,"H1608_26"
"585","H1608",27,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.165,"$816.15 ","$9.09 ",2016-06-30,816.15,9.09,27,"H1608_27"
"586","H1608",28,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.943,"$754.92 ","$27.44 ",2016-06-30,754.92,27.44,28,"H1608_28"
"587","H1608",29,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.971,"$760.97 ","$45.89 ",2016-06-30,760.97,45.89,29,"H1608_29"
"588","H1608",30,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.995,"$778.85 ","$34.24 ",2016-06-30,778.85,34.24,30,"H1608_30"
"589","H1608",817,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.217,"$814.96 ","$7.56 ",2016-06-30,814.96,7.56,817,"H1608_817"
"590","H1608",819,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.857,"$740.88 ","$51.82 ",2016-06-30,740.88,51.82,819,"H1608_819"
"591","H1608",822,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.199,"$786.52 ","$0.00 ",2016-06-30,786.52,0,822,"H1608_822"
"592","H1608",823,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",1.206,"$742.37 ","$43.21 ",2016-06-30,742.37,43.21,823,"H1608_823"
"593","H1608",824,"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Local PPO",0.954,"$717.05 ","$89.41 ",2016-06-30,717.05,89.41,824,"H1608_824"
"594","H1609",1,"AETNA HEALTH INC. (FL)","HMO",1.026,"$709.53 ","$47.59 ",2016-06-30,709.53,47.59,1,"H1609_1"
"595","H1609",9,"AETNA HEALTH INC. (FL)","HMO",0.931,"$661.33 ","$72.65 ",2016-06-30,661.33,72.65,9,"H1609_9"
"596","H1609",10,"AETNA HEALTH INC. (FL)","HMO",0.995,"$672.15 ","$80.01 ",2016-06-30,672.15,80.01,10,"H1609_10"
"597","H1659",1,"PIEDMONT COMMUNITY HEALTHCARE, INC.","Local PPO",1.033,"$667.34 ","$50.81 ",2016-06-30,667.34,50.81,1,"H1659_1"
"598","H1659",2,"PIEDMONT COMMUNITY HEALTHCARE, INC.","Local PPO",0.967,"$641.57 ","$55.64 ",2016-06-30,641.57,55.64,2,"H1659_2"
"599","H1659",3,"PIEDMONT COMMUNITY HEALTHCARE, INC.","Local PPO",0.878,"$613.99 ","$63.00 ",2016-06-30,613.99,63,3,"H1659_3"
"600","H1660",1,"HARVARD PILGRIM HEALTH CARE INC.","HMO",1.028,"$755.21 ","$68.96 ",2016-06-30,755.21,68.96,1,"H1660_1"
"601","H1660",4,"HARVARD PILGRIM HEALTH CARE INC.","HMO",0.927,"$723.33 ","$55.28 ",2016-06-30,723.33,55.28,4,"H1660_4"
"602","H1660",5,"HARVARD PILGRIM HEALTH CARE INC.","HMO",0.841,"$638.77 ","$92.28 ",2016-06-30,638.77,92.28,5,"H1660_5"
"603","H1660",9,"HARVARD PILGRIM HEALTH CARE INC.","HMO",0.704,"$727.61 ","$83.02 ",2016-06-30,727.61,83.02,9,"H1660_9"
"604","H1660",12,"HARVARD PILGRIM HEALTH CARE INC.","HMO",0.805,"$678.91 ","$67.02 ",2016-06-30,678.91,67.02,12,"H1660_12"
"605","H1660",13,"HARVARD PILGRIM HEALTH CARE INC.","HMO",0.715,"$569.16 ","$114.27 ",2016-06-30,569.16,114.27,13,"H1660_13"
"606","H1666",1,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.825,"$698.51 ","$63.50 ",2016-06-30,698.51,63.5,1,"H1666_1"
"607","H1666",2,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.855,"$776.58 ","$76.73 ",2016-06-30,776.58,76.73,2,"H1666_2"
"608","H1666",3,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.907,"$830.99 ","$78.85 ",2016-06-30,830.99,78.85,3,"H1666_3"
"609","H1666",4,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.799,"$729.87 ","$43.81 ",2016-06-30,729.87,43.81,4,"H1666_4"
"610","H1666",5,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.824,"$785.78 ","$71.98 ",2016-06-30,785.78,71.98,5,"H1666_5"
"611","H1666",6,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.837,"$834.26 ","$72.47 ",2016-06-30,834.26,72.47,6,"H1666_6"
"612","H1666",8,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.848,"$789.74 ","$38.59 ",2016-06-30,789.74,38.59,8,"H1666_8"
"613","H1666",9,"HCSC INSURANCE SERVICES COMPANY","Local PPO",0.912,"$790.43 ","$36.58 ",2016-06-30,790.43,36.58,9,"H1666_9"
"614","H1666",801,"HCSC INSURANCE SERVICES COMPANY","Local PPO",1.006,"$757.26 ","$66.40 ",2016-06-30,757.26,66.4,801,"H1666_801"
"615","H1692",2,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","HMO",1.063,"$763.27 ","$40.59 ",2016-06-30,763.27,40.59,2,"H1692_2"
"616","H1692",3,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","HMO",1.024,"$756.17 ","$19.33 ",2016-06-30,756.17,19.33,3,"H1692_3"
"617","H1692",4,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","HMO",1.05,"$783.15 ","$21.55 ",2016-06-30,783.15,21.55,4,"H1692_4"
"618","H1716",1,"HUMANA INSURANCE COMPANY","Local PPO",1.041,"$819.14 ","$0.00 ",2016-06-30,819.14,0,1,"H1716_1"
"619","H1737",1,"HEALTH ALLIANCE - MIDWEST, INC.","HMO",0.825,"$628.36 ","$92.24 ",2016-06-30,628.36,92.24,1,"H1737_1"
"620","H1737",3,"HEALTH ALLIANCE - MIDWEST, INC.","HMO",0.828,"$673.80 ","$75.51 ",2016-06-30,673.8,75.51,3,"H1737_3"
"621","H1737",802,"HEALTH ALLIANCE - MIDWEST, INC.","HMO",0.526,"$682.71 ","$33.96 ",2016-06-30,682.71,33.96,802,"H1737_802"
"622","H1777",7,"CATHOLIC SPECIAL NEEDS PLAN, LLC","HMO",2.444,"$832.11 ","$52.47 ",2016-06-30,832.11,52.47,7,"H1777_7"
"623","H1846",1,"MOUNT CARMEL HEALTH INSURANCE COMPANY","Local PPO",1.12,"$720.86 ","$59.93 ",2016-06-30,720.86,59.93,1,"H1846_1"
"624","H1846",3,"MOUNT CARMEL HEALTH INSURANCE COMPANY","Local PPO",0.917,"$659.08 ","$96.36 ",2016-06-30,659.08,96.36,3,"H1846_3"
"625","H1849",17,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","HMO",1.511,"$712.53 ","$50.97 ",2016-06-30,712.53,50.97,17,"H1849_17"
"626","H1849",18,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","HMO",1.075,"$721.22 ","$34.65 ",2016-06-30,721.22,34.65,18,"H1849_18"
"627","H1849",801,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","HMO",1.46,"$746.00 ","$14.92 ",2016-06-30,746,14.92,801,"H1849_801"
"628","H1894",1,"AMERIGROUP WASHINGTON, INC.","HMO",0.815,"$625.45 ","$74.47 ",2016-06-30,625.45,74.47,1,"H1894_1"
"629","H1894",2,"AMERIGROUP WASHINGTON, INC.","HMO",1.222,"$676.24 ","$66.45 ",2016-06-30,676.24,66.45,2,"H1894_2"
"630","H1903",11,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","HMO",1.227,"$739.70 ","$54.31 ",2016-06-30,739.7,54.31,11,"H1903_11"
"631","H1903",22,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","HMO",1.041,"$701.34 ","$65.98 ",2016-06-30,701.34,65.98,22,"H1903_22"
"632","H1903",25,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","HMO",0.91,"$656.85 ","$85.88 ",2016-06-30,656.85,85.88,25,"H1903_25"
"633","H1944",1,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.984,"$782.13 ","$62.64 ",2016-06-30,782.13,62.64,1,"H1944_1"
"634","H1944",4,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.881,"$801.41 ","$43.16 ",2016-06-30,801.41,43.16,4,"H1944_4"
"635","H1944",5,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.939,"$754.95 ","$58.87 ",2016-06-30,754.95,58.87,5,"H1944_5"
"636","H1944",6,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.91,"$776.19 ","$48.37 ",2016-06-30,776.19,48.37,6,"H1944_6"
"637","H1944",7,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.879,"$769.72 ","$62.47 ",2016-06-30,769.72,62.47,7,"H1944_7"
"638","H1944",8,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.875,"$794.62 ","$49.11 ",2016-06-30,794.62,49.11,8,"H1944_8"
"639","H1944",9,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.961,"$791.56 ","$41.69 ",2016-06-30,791.56,41.69,9,"H1944_9"
"640","H1944",10,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.973,"$747.52 ","$45.11 ",2016-06-30,747.52,45.11,10,"H1944_10"
"641","H1944",11,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.979,"$737.48 ","$51.41 ",2016-06-30,737.48,51.41,11,"H1944_11"
"642","H1944",12,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.944,"$766.96 ","$38.45 ",2016-06-30,766.96,38.45,12,"H1944_12"
"643","H1944",13,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",1.143,"$803.72 ","$11.48 ",2016-06-30,803.72,11.48,13,"H1944_13"
"644","H1944",14,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",1.196,"$769.67 ","$53.65 ",2016-06-30,769.67,53.65,14,"H1944_14"
"645","H1944",15,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",1.147,"$742.97 ","$54.59 ",2016-06-30,742.97,54.59,15,"H1944_15"
"646","H1944",16,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",1.025,"$747.64 ","$68.49 ",2016-06-30,747.64,68.49,16,"H1944_16"
"647","H1944",17,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.814,"$754.57 ","$36.79 ",2016-06-30,754.57,36.79,17,"H1944_17"
"648","H1944",18,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.804,"$675.45 ","$55.83 ",2016-06-30,675.45,55.83,18,"H1944_18"
"649","H1944",19,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",0.79,"$762.96 ","$30.58 ",2016-06-30,762.96,30.58,19,"H1944_19"
"650","H1944",805,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","HMO",1.076,"$739.53 ","$74.16 ",2016-06-30,739.53,74.16,805,"H1944_805"
"651","H1951",1,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.055,"$675.27 ","$126.54 ",2016-06-30,675.27,126.54,1,"H1951_1"
"652","H1951",5,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.068,"$705.69 ","$123.80 ",2016-06-30,705.69,123.8,5,"H1951_5"
"653","H1951",13,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.065,"$758.79 ","$72.62 ",2016-06-30,758.79,72.62,13,"H1951_13"
"654","H1951",24,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.065,"$878.97 ","$78.12 ",2016-06-30,878.97,78.12,24,"H1951_24"
"655","H1951",25,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.012,"$714.57 ","$93.23 ",2016-06-30,714.57,93.23,25,"H1951_25"
"656","H1951",28,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.061,"$788.40 ","$101.00 ",2016-06-30,788.4,101,28,"H1951_28"
"657","H1951",30,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",0.868,"$736.38 ","$81.17 ",2016-06-30,736.38,81.17,30,"H1951_30"
"658","H1951",32,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.493,"$846.84 ","$29.77 ",2016-06-30,846.84,29.77,32,"H1951_32"
"659","H1951",33,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.506,"$831.98 ","$21.51 ",2016-06-30,831.98,21.51,33,"H1951_33"
"660","H1951",34,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.513,"$909.78 ","$29.90 ",2016-06-30,909.78,29.9,34,"H1951_34"
"661","H1951",36,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.527,"$685.51 ","$175.11 ",2016-06-30,685.51,175.11,36,"H1951_36"
"662","H1951",37,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.415,"$737.19 ","$115.85 ",2016-06-30,737.19,115.85,37,"H1951_37"
"663","H1951",38,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",0.982,"$655.66 ","$134.17 ",2016-06-30,655.66,134.17,38,"H1951_38"
"664","H1951",39,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.055,"$680.73 ","$127.73 ",2016-06-30,680.73,127.73,39,"H1951_39"
"665","H1951",41,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.293,"$848.47 ","$25.41 ",2016-06-30,848.47,25.41,41,"H1951_41"
"666","H1951",42,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",0.98,"$749.07 ","$89.64 ",2016-06-30,749.07,89.64,42,"H1951_42"
"667","H1951",43,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.471,"$698.35 ","$143.22 ",2016-06-30,698.35,143.22,43,"H1951_43"
"668","H1951",44,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.721,"$632.69 ","$204.14 ",2016-06-30,632.69,204.14,44,"H1951_44"
"669","H1951",801,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HMO",1.047,"$823.04 ","$35.85 ",2016-06-30,823.04,35.85,801,"H1951_801"
"670","H1961",2,"PEOPLES HEALTH, INC.","HMO",1.136,"$664.42 ","$162.93 ",2016-06-30,664.42,162.93,2,"H1961_2"
"671","H1961",3,"PEOPLES HEALTH, INC.","HMO",1.569,"$734.74 ","$141.28 ",2016-06-30,734.74,141.28,3,"H1961_3"
"672","H1961",7,"PEOPLES HEALTH, INC.","HMO",1.163,"$811.23 ","$126.92 ",2016-06-30,811.23,126.92,7,"H1961_7"
"673","H1961",9,"PEOPLES HEALTH, INC.","HMO",1.204,"$588.71 ","$230.29 ",2016-06-30,588.71,230.29,9,"H1961_9"
"674","H1961",10,"PEOPLES HEALTH, INC.","HMO",1.469,"$806.80 ","$35.60 ",2016-06-30,806.8,35.6,10,"H1961_10"
"675","H1961",11,"PEOPLES HEALTH, INC.","HMO",1.188,"$848.18 ","$36.30 ",2016-06-30,848.18,36.3,11,"H1961_11"
"676","H1961",14,"PEOPLES HEALTH, INC.","HMO",1.125,"$626.11 ","$197.36 ",2016-06-30,626.11,197.36,14,"H1961_14"
"677","H1961",801,"PEOPLES HEALTH, INC.","HMO",1.051,"$629.43 ","$190.73 ",2016-06-30,629.43,190.73,801,"H1961_801"
"678","H1969",2,"REGENCE BLUE SHIELD OF IDAHO","HMO",0.694,"$575.10 ","$88.38 ",2016-06-30,575.1,88.38,2,"H1969_2"
"679","H1969",3,"REGENCE BLUE SHIELD OF IDAHO","HMO",0.848,"$618.91 ","$73.27 ",2016-06-30,618.91,73.27,3,"H1969_3"
"680","H1994",1,"SELECTHEALTH, INC.","HMO",0.761,"$650.46 ","$106.74 ",2016-06-30,650.46,106.74,1,"H1994_1"
"681","H1994",2,"SELECTHEALTH, INC.","HMO",0.833,"$712.05 ","$46.03 ",2016-06-30,712.05,46.03,2,"H1994_2"
"682","H1994",3,"SELECTHEALTH, INC.","HMO",0.752,"$650.79 ","$93.12 ",2016-06-30,650.79,93.12,3,"H1994_3"
"683","H1994",4,"SELECTHEALTH, INC.","HMO",0.833,"$691.04 ","$52.41 ",2016-06-30,691.04,52.41,4,"H1994_4"
"684","H1994",5,"SELECTHEALTH, INC.","HMO",0.763,"$661.44 ","$63.52 ",2016-06-30,661.44,63.52,5,"H1994_5"
"685","H1994",6,"SELECTHEALTH, INC.","HMO",0.695,"$745.17 ","$35.02 ",2016-06-30,745.17,35.02,6,"H1994_6"
"686","H1997",2,"REGENCE BLUESHIELD","HMO",0.836,"$649.94 ","$69.76 ",2016-06-30,649.94,69.76,2,"H1997_2"
"687","H2001",1,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.875,"$722.39 ","$46.47 ",2016-06-30,722.39,46.47,1,"H2001_1"
"688","H2001",10,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.759,"$742.76 ","$29.08 ",2016-06-30,742.76,29.08,10,"H2001_10"
"689","H2001",816,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.997,"$821.75 ","$0.00 ",2016-06-30,821.75,0,816,"H2001_816"
"690","H2001",817,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",1.072,"$800.53 ","$22.87 ",2016-06-30,800.53,22.87,817,"H2001_817"
"691","H2001",818,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",1.053,"$838.71 ","$0.00 ",2016-06-30,838.71,0,818,"H2001_818"
"692","H2001",819,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.923,"$429.29 ","$0.00 ",2016-06-30,429.29,0,819,"H2001_819"
"693","H2001",820,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.877,"$434.03 ","$0.00 ",2016-06-30,434.03,0,820,"H2001_820"
"694","H2001",822,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",1.056,"$871.23 ","$0.00 ",2016-06-30,871.23,0,822,"H2001_822"
"695","H2001",823,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",1.507,"$816.84 ","$18.97 ",2016-06-30,816.84,18.97,823,"H2001_823"
"696","H2001",825,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",1.011,"$688.03 ","$100.66 ",2016-06-30,688.03,100.66,825,"H2001_825"
"697","H2001",826,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.934,"$835.61 ","$3.03 ",2016-06-30,835.61,3.03,826,"H2001_826"
"698","H2001",827,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.929,"$785.58 ","$11.50 ",2016-06-30,785.58,11.5,827,"H2001_827"
"699","H2001",828,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.838,"$848.72 ","$0.00 ",2016-06-30,848.72,0,828,"H2001_828"
"700","H2001",830,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Local PPO",0.987,"$782.01 ","$25.47 ",2016-06-30,782.01,25.47,830,"H2001_830"
"701","H2012",2,"HUMANA HEALTH PLAN, INC.","HMO",0.993,"$685.15 ","$93.25 ",2016-06-30,685.15,93.25,2,"H2012_2"
"702","H2012",3,"HUMANA HEALTH PLAN, INC.","HMO",1.009,"$695.69 ","$92.20 ",2016-06-30,695.69,92.2,3,"H2012_3"
"703","H2012",6,"HUMANA HEALTH PLAN, INC.","HMO",0.871,"$719.80 ","$57.00 ",2016-06-30,719.8,57,6,"H2012_6"
"704","H2012",8,"HUMANA HEALTH PLAN, INC.","HMO",1.004,"$735.65 ","$71.53 ",2016-06-30,735.65,71.53,8,"H2012_8"
"705","H2012",9,"HUMANA HEALTH PLAN, INC.","HMO",1.026,"$710.56 ","$72.40 ",2016-06-30,710.56,72.4,9,"H2012_9"
"706","H2012",11,"HUMANA HEALTH PLAN, INC.","HMO",1.021,"$677.13 ","$85.07 ",2016-06-30,677.13,85.07,11,"H2012_11"
"707","H2012",12,"HUMANA HEALTH PLAN, INC.","HMO",1.085,"$721.40 ","$69.73 ",2016-06-30,721.4,69.73,12,"H2012_12"
"708","H2012",15,"HUMANA HEALTH PLAN, INC.","HMO",1.195,"$731.64 ","$68.03 ",2016-06-30,731.64,68.03,15,"H2012_15"
"709","H2012",16,"HUMANA HEALTH PLAN, INC.","HMO",1.043,"$698.67 ","$75.70 ",2016-06-30,698.67,75.7,16,"H2012_16"
"710","H2012",21,"HUMANA HEALTH PLAN, INC.","HMO",0.994,"$725.95 ","$52.78 ",2016-06-30,725.95,52.78,21,"H2012_21"
"711","H2012",22,"HUMANA HEALTH PLAN, INC.","HMO",1.043,"$747.95 ","$43.50 ",2016-06-30,747.95,43.5,22,"H2012_22"
"712","H2012",27,"HUMANA HEALTH PLAN, INC.","HMO",1.064,"$709.38 ","$74.53 ",2016-06-30,709.38,74.53,27,"H2012_27"
"713","H2012",28,"HUMANA HEALTH PLAN, INC.","HMO",0.956,"$725.82 ","$76.98 ",2016-06-30,725.82,76.98,28,"H2012_28"
"714","H2012",29,"HUMANA HEALTH PLAN, INC.","HMO",1.08,"$751.16 ","$68.21 ",2016-06-30,751.16,68.21,29,"H2012_29"
"715","H2012",30,"HUMANA HEALTH PLAN, INC.","HMO",0.881,"$732.14 ","$42.04 ",2016-06-30,732.14,42.04,30,"H2012_30"
"716","H2012",31,"HUMANA HEALTH PLAN, INC.","HMO",0.927,"$739.40 ","$62.47 ",2016-06-30,739.4,62.47,31,"H2012_31"
"717","H2012",33,"HUMANA HEALTH PLAN, INC.","HMO",0.822,"$697.61 ","$72.67 ",2016-06-30,697.61,72.67,33,"H2012_33"
"718","H2012",35,"HUMANA HEALTH PLAN, INC.","HMO",0.975,"$788.43 ","$25.35 ",2016-06-30,788.43,25.35,35,"H2012_35"
"719","H2012",37,"HUMANA HEALTH PLAN, INC.","HMO",1.017,"$738.31 ","$76.48 ",2016-06-30,738.31,76.48,37,"H2012_37"
"720","H2012",39,"HUMANA HEALTH PLAN, INC.","HMO",0.878,"$730.61 ","$66.08 ",2016-06-30,730.61,66.08,39,"H2012_39"
"721","H2012",42,"HUMANA HEALTH PLAN, INC.","HMO",1.784,"$810.31 ","$37.57 ",2016-06-30,810.31,37.57,42,"H2012_42"
"722","H2012",53,"HUMANA HEALTH PLAN, INC.","HMO",1.32,"$794.72 ","$21.19 ",2016-06-30,794.72,21.19,53,"H2012_53"
"723","H2012",54,"HUMANA HEALTH PLAN, INC.","HMO",1.486,"$785.11 ","$25.03 ",2016-06-30,785.11,25.03,54,"H2012_54"
"724","H2012",55,"HUMANA HEALTH PLAN, INC.","HMO",0.877,"$687.41 ","$36.55 ",2016-06-30,687.41,36.55,55,"H2012_55"
"725","H2012",56,"HUMANA HEALTH PLAN, INC.","HMO",1.023,"$702.43 ","$57.77 ",2016-06-30,702.43,57.77,56,"H2012_56"
"726","H2012",60,"HUMANA HEALTH PLAN, INC.","HMO",1.759,"$727.30 ","$140.29 ",2016-06-30,727.3,140.29,60,"H2012_60"
"727","H2012",64,"HUMANA HEALTH PLAN, INC.","HMO",1.546,"$804.90 ","$23.90 ",2016-06-30,804.9,23.9,64,"H2012_64"
"728","H2012",70,"HUMANA HEALTH PLAN, INC.","HMO",1.36,"$808.59 ","$20.46 ",2016-06-30,808.59,20.46,70,"H2012_70"
"729","H2012",80,"HUMANA HEALTH PLAN, INC.","HMO",0.968,"$695.32 ","$73.68 ",2016-06-30,695.32,73.68,80,"H2012_80"
"730","H2012",82,"HUMANA HEALTH PLAN, INC.","HMO",1.019,"$715.90 ","$51.76 ",2016-06-30,715.9,51.76,82,"H2012_82"
"731","H2012",84,"HUMANA HEALTH PLAN, INC.","HMO",1.601,"$720.53 ","$113.98 ",2016-06-30,720.53,113.98,84,"H2012_84"
